Descripcion;Precio_Venta_Final;IdArticulo;Stock
MOÑO RAPIDO GRANDE SURTIDO x50 M102;10074,21;10200915;-0,20
NARIZ PAYASO ROJA CON ELASTICO x36 7994;5842,29;10200924;8,00
HERRAMIENTAS GRANDES STASIO x36 8123;3372,74;10200935;15,00
ANIMALITOS ZOO PATRIMAR x12;1638,57;10200943;13,00
SET CON ACCESORIOS PIRATA x1 (chaleco,espada,pañuelo,parche);19847,03;10200950;0,00
AROS DE HOJALATA Nº8 637;8059,30;10200969;0,00
AROS DE HOJALATA Nº10 636;9066,71;10200970;8,00
MOLDE ALUMINIO ESPECIAL PARA PAN DULCE 18cm x1;11328,85;10200993;0,00
SET CON ACCESORIOS COCINERO x1 (delantal,gorro,palo);15216,05;10201007;2,00
SET CON ACCESORIOS INDIO x1 (chaleco,vincha);12569,78;10201009;0,00
SET CON ACCESORIOS INDIA x1 (chaleco,pollera,vincha);12569,78;10201010;11,00
SET CON ACCESORIOS SOLDADO x1 (boina,chaleco,handy,granada);14554,49;10201011;0,00
VELA FLOR MUSICAL CIEN FUEGOS x1;9263,38;10201013;-14,00
VINCHA FLUO MANITOS x4;2366,94;10201035;3,50
VINCHA FLUO SURTIDAS x4;2554,79;10201036;-1,00
PECHERA GRANADERO PAÑOx1 401;5847,52;10201064;80,00
PECHERA REALISTA PAÑOx1 403;5847,52;10201066;32,00
PECHERA BELGRANO PAÑOx1 405;5689,48;10201067;6,00
PECHERA CABALLERO PAÑOx1 406;5689,48;10201068;33,00
PECHERA SAN MARTIN PAÑOx1 404;5847,52;10201069;20,00
VINCHA FLUO SIMBOLO DE LA PAZ x4;2366,94;10201070;27,75
ESTEKA PARPEN VAINILLA  MULTIUSO x1 EPV;3650,31;10201080;11,00
BANDA PATRIAx1;4573,80;10201085;31,00
RULETERO PARPEN METALICO x1 BMU0;5232,56;10201100;11,00
DISFRAZ PERSONAJE HOMBRE ARACNIDO T2x1 CR;31430,96;10201108;0,00
DISFRAZ PERSONAJE HOMBRE ARACNIDO T3x1 CR;28287,86;10201109;0,00
DISFRAZ NEGRITO ALE T2x1;16237,14;10201152;1,00
BOMBACHA PARA GAUCHO CROSTI 18 T2;8820,90;10201212;2,00
BOMBACHA PARA GAUCHO CROSTI 18 T3;8820,90;10201213;2,00
MARCADOR PARPEN DE COSTURAS MDC;5808,93;10201216;4,00
MANGA B.B DESCARTABLE Nº2 x10;2071,08;10201238;57,70
MANGA B.B DESCARTABLE Nº1 x10;1639,82;10201243;41,00
MANGA B.B DESCARTABLE Nº3 x10;2763,03;10201244;18,20
MANGA B.B DESCARTABLE Nº4 x10;3090,04;10201246;17,90
MANGA B.B DESCARTABLE Nº50 x10;3938,39;10201248;19,40
LAGARTIJAS COLOR  PATRIMAR x36;3984,40;10201254;11,00
CHUPETIN CORAZON GRANDE CARAMELO x20u. HUMPI;18426,79;10201272;0,05
MANGA B.B DESCARTABLE Nº0 x10;1471,57;10201281;0,60
SACO CABALLERO CON YABOT CROSTI 24 T1;17641,80;10201282;0,00
SACO CABALLERO CON YABOT CROSTI 24 T3;17641,80;10201284;0,00
DISFRAZ DAMA ANTIGUA CROSTIx1 03 T4;28520,91;10201393;0,00
GORRO BICORNIO SAN MARTIN TELA ROXx1 P14;5292,61;10201395;21,00
GORRO GRANADERO ROXx1 P16;5292,61;10201400;27,00
PASA DE UVA SIN SEMILLA x1KG;6665,35;10201407;0,20
